Jeux,Description,Sortie,Test,Avis
Skyblazer sur SNES,"Sky est le héros de Skyblazer sur Super Nintendo. Il a été recueilli par un vieil homme après avoir tenté d'empêcher le Seigneur de guerre Ashura de kidnapper la jeune sorcière Arianna. A son réveil, il part à sa recherche et va essayer d'anéantir Ashura avant qu'il n'arrive à conquérir le monde. Sky se bat à l'aide de pouvoirs magiques qu'il doit recharger en ramassant des fioles. Il peut également grimper sur les murs pour éviter les obstacles des niveaux.",25 mars 1994,18/20,17/20
Metal Gear Solid sur NGC,"Metal Gear Solid est un jeu d'infiltration/action sorti sur Gamecube. Dans cet opus (remake de la version Playstation), Solid Snake doit infiltrer Shadow Moses, une base militaire en Alaska, afin de sauver des otages. Le joueur trouve tout au long de l'aventure de nouvelles armes et nouveaux équipements tout en alternant dialogues, séquences d'infiltration et combats contre les boss. Le scénario hollywoodien allié à de nombreuses cinématiques en font un jeu très cinématographique.",26 mars 2004,18/20,17.6/20
Sword of Mana sur GBA,"Sword of Mana est un jeu de rôle disponible sur Gameboy Advance. Choisissez parmi les deux héros de l'histoire, un gladiateur qui veut venger la mort de ses parents, ou une jeune femme qui doit affronter son passé qui la hante. Tous deux devront défendre l'arbre de Mana car le Chevalier Noir du Royaume de Granz veut percer ses secrets pour contrôler la source du Mana.",18 mars 2004,18/20,17/20
Dust : An Elysian Tail,"Beat'em all mâtiné de jeu de rôle, Dust : An Elysian Tail est un jeu indépendant dans la droite lignée de Muramasa avec son univers féerique, ses couleurs chatoyantes, son personnage charismatique et son action survoltée.",15 août 2012,18/20,17.5/20
Grand Theft Auto : Vice City,"Jeu d'action prenant place sur une carte gigantesque, GTA Vice City vous permet d'incarner un certain Tommy Vercetti qui doit enchaîner des missions diverses et variées dans une ville inspirée du Miami des années 80. Exemple de non-linéarité, le jeu propose un certain nombre d'activités qui sont proposées en parallèle des missions de base : chauffeur de taxi, pompier, ambulancier...",8 novembre 2002,18/20,18.5/20
Beat Hazard Ultra,Beat Hazard Ultra sur PC est un jeu de tir et de rythme dans lequel le joueur devra survivre aux diverses pistes audio proposées en prenant soin de tirer sur tout ce qui bouge avec un certain timing. De ce timing dépendra notamment l'apparition d'ennemis et de boss.,16 juin 2011,18/20,17.1/20
Forza Motorsport 2 sur 360,"Forza Motorsport 2 est un jeu de courses sur Xbox 360. Trois modes de jeu principaux sont proposés : Arcade, Carrière et Multijoueur. 47 circuits au total sont disponibles ainsi que plus de 300 voitures, issues de 45 marques différentes. Le mode carrière vous propose lui de terminer plus de 300 courses réparties en 90 épreuves différentes. Forza Motorsport 2 est également praticable en multi, jusqu'à 8 joueurs sur le Xbox Live.",8 juin 2007,18/20,16.9/20
Flight Simulator 2000 sur PC,Flight Simulator 2000 est une simulation aérienne sortie sur PC. Le monde vous tend les bras et c'est à vous de répondre à son appel en pilotant un des avions disponibles. Mais attention ici impossible de faire un looping avec un Boeing sans se crasher car le jeu se veut réaliste.,Novembre 1999,18/20,16.1/20
Sonic Jump,,18 octobre 2012,18/20,17.2/20
Golden Sun : L'Age Perdu,"Golden Sun : L'Age Perdu est un jeu de rôle sorti sur console virtuelle Wii U. Second volet de la saga Golden Sun, cet opus vous permet de récupérer l'équipe du premier jeu pour terminer celui-ci et aussi d'affronter vos amis en multijoueur grâce au câble link.",19 septembre 2003,18/20,19.2/20
Medievil 2 sur PS1,"Medievil 2 est un jeu d'action sur Playstation qui se déroule à l'époque victorienne. Le démoniaque Lord Palethorn a commencé à lever une armée de morts-vivants et vous devez l'empêcher de dominer le monde. Un professeur fou, une momie égyptienne et gentil fantôme seront ravis de vous aider au fil des 17 niveaux remplis de trésors et de monstres.",19 avril 2000,18/20,17.6/20
Shenmue II,"Shenmue II sur Dreamcast reprend l'histoire de Ryo Hazuki là où elle s'est arrêtée à la fin du premier épisode. Vous êtes toujours à la recherche du meurtrier de votre père. Cette enquête vous mène jusqu'en Chine. Sentez la ville vivre, évoluez librement dans les lieux que vous traversez, d'innombrables interactions sont possibles.",30 novembre 2001,18/20,19.4/20
Assassin's Creed II,"Jeu d'action-aventure en monde ouvert, Assassin's Creed II prend place durant la Renaissance italienne. Le joueur incarne Ezio Auditore da Firenze, jeune noble italien de 17 ans, qui perd sa famille, assassinée sous ses yeux. Obnubilé par sa soif de vengeance, sa quête le ménera sur les traces des Templiers, en passant par de nombreuses villes emblématiques d'Italie dont Venise et Florence.",19 novembre 2009,18/20,18.2/20
Les Sims 3,"Jeu de gestion et de simulation de vie humaine, Les Sims 3 vous donne la possibilité de gérer un ou plusieurs Sims, immergés dans une ville active, et qui entrent en interaction avec d'autres Sims. La personnalité des personnages a été approfondie grâce à un tout nouveau système, ainsi que la personnalisation du lieu de vie, plus riche et aboutie.",4 juin 2009,18/20,17.7/20
Rolando 2 : La Quête de l'Orchidée Dorée sur iOS,"Dans Rolando 2, vous contrôlez des personnages rondouillards en quête d'une orchidée sacrée dans des niveaux loufoques et colorés. Les personnages, représentés sous forme de sphères en deux dimensions, roulent d'un côté ou de l'autre selon les mouvements du joueur, qui décide de ses déplacements et de sa vitesse. Le jeu comporte plusieurs degrés de difficulté et plus de 30 niveaux. Il est également possible d'écouter sa propre musique pendant le jeu.",1er juillet 2009,18/20,
Mario Kart DS,"Mario Kart DS sur Wii U est un jeu de courses reprenant l'univers de Mario et de ses amis (et ennemis). Sur de nombreux circuits, choisissez votre personnage préféré et lancez-vous dans des courses de folie. Balancez divers objets comme des carapaces ou des peaux de bananes sur vos concurrents afin de prendre la tête. Un mode multi permet d'affronter ses amis pour de grands moments d'anthologie.",25 novembre 2005,18/20,17.7/20
The Legend of Zelda : Spirit Tracks,"The Legend of Zelda : Spirit Tracks est un jeu d'action/aventure sur Nintendo DS. Suivant ses prédécesseurs au design cartoonesque, ce jeu vous emmène non plus en bateau mais en train à travers de nouvelles aventures. Au programme : des donjons, des boss dont il faudra repérer les points faibles, et surtout une armure ambulante que vous pourrez diriger à la pointe de votre stylet pour résoudre des énigmes et combattre de nombreux ennemis !",11 décembre 2009,18/20,16.6/20
Payday 2,"Payday 2 est un FPS jouable à plusieurs et en ligne. Le joueur doit y planifier un casse avec ses amis et le réaliser sans accroche. Plusieurs stratégies sont possibles, des plus fines aux plus rentres-dedans, et certains détails sont définis de façon aléatoire à chaque partie pour forcer les participants à revoir leurs plans.",13 août 2013,18/20,15.4/20
Muramasa : The Demon Blade sur Wii,"Muramasa : The Demon Blade sur Wii est un jeu d'action baignant dans le folklore japonais. Le joueur doit guider Kisuke et Momohime dans leur périple à la recherche de plusieurs dizaines de katanas démoniaques qu'ils pourront contrôler. De province en province, le soft affiche des environnements sublimes en 2D avec une action menée tambour battant.",13 novembre 2009,18/20,17.8/20
Grand Theft Auto : Chinatown Wars,Grand Theft Auto : Chinatown Wars est un opus DS totalement inédit issu de la célèbre série d'action. Le joueur traverse des environnements ouverts et interactifs et finit par découvrir la vérité cachée derrière les rumeurs de crimes et de corruptions au sein de la Triade. Un mode multijoueur est de la partie.,20 mars 2009,18/20,17.3/20
Quake,"Quake est un jeu de tir à la première personne sur PC. L'humanité a réussi à inventer la téléportation. Cependant, de grosses voies sont ouvertes à des univers parallèles et des démons venus des profondeurs de l'enfer ont emprunté ces voies. Dans la peau d'un space-marine vous devez rassembler quatre runes magiques dans le but de repousser les étrangers. Plusieurs modes multijoueurs sont disponibles.",Septembre 1996,18/20,16.9/20
Hexen,"Hexen : Beyond Heretic est un jeu d'action à la première personne sur PC. Un empire maléfique a décidé d'éliminer tous ses opposants pour régner en maître sur la terre, vous allez devoir les en empêcher. Vous pouvez incarner 3 personnages : un guerrier, un mage ou un clerc. Chaque personnage possède des capacités uniques.",1997,18/20,14/20
Twin Blades : The Reaping Vanguard,"Twin Blades est un jeu de combat disponible en téléchargement sur le Playstation Store de la Playstation 3. Dans un univers médiéval au look manga, le joueur doit faire tout ce qui est en son pouvoir pour exterminer des hordes de zombies. Il dispose pour cela de 6 armes à feu et de pouvoirs spéciaux à améliorer au fil de la progression.",7 décembre 2009,18/20,17.3/20
Crusader Kings II,"Crusader Kings II est un wargame qui vous propose d'incarner une lignée de nobles européenne entre 1066 et 1453. Guerres, complots politiques et intrigues religieuses : tous les moyens sont bons pour étendre votre domaine, et peut-être créer un véritable empire qui s'étendra sur tout le continent. Le jeu offre en outre un mode multijoueur permettant de refaire l'Histoire entre amis.",14 février 2012,18/20,18/20
Mass Effect 2,"Jeu de rôle spatial dans lequel on incarne le commandant Shepard, Mass Effect 2 est la suite du premier opus du même nom. Le joueur peut y retrouver son ancienne sauvegarde de jeu et ainsi jouer en continuité. Pour ceux ne connaissant pas encore la série, un résumé des événements précédents est fourni via un comics interactif.",28 janvier 2010,18/20,17.9/20
Donkey Kong 64,Donkey Kong 64 est un jeu de plates-formes sorti sur Wii U. Tout le clan des kongs est à nouveau en péril à cause de K Rool qui menace leur île avec une nouvelle arme. Incarnez 5 personnages différents dans ce jeu tout en trois dimensions.,22 novembre 1999,18/20,17.5/20
Flight Simulator 2004 : Un Siècle d'Aviation sur PC,"Partez à la conquête des cieux dans Flight Simulator 2004 : Un Siècle d'Aviation sur PC. En plus des vols d'appareils classiques cet opus vous permet de voler avec des légendes de l'aviation, les premiers avions existants et de recréer leurs vols en temps réel.",29 août 2003,18/20,18.4/20
The Elder Scrolls V : Skyrim : Special Edition,"The Elder Scrolls V : Skyrim est le cinquième épisode de la saga de jeux de rôle du même nom. Le scénario se passe 200 ans après l'histoire du quatrième opus, quand Alduin fait son retour au milieu d'une guerre civile. Seul le Dovahkiin, incarné par le joueur, peut mettre un terme à cette sombre affaire... Un monde gigantesque empli de quêtes est à explorer et auquel se sont rajoutées des extensions débloquant plus de quêtes.",11 novembre 2011,18/20,17.9/20
Tales of Vesperia Definitive Edition,Tales of Vesperia est un jeu de rôle se déroulant dans un monde fantastique. Le joueur y incarne un ancien chevalier impérial qui s'alliera à six autres personnes pour chasser un voleur de « noyaux ». Les combats dynamiques peuvent se jouer jusqu'à quatre simultanément et les capacités de combat peuvent s'obtenir grâce aux armes équipées.,26 juin 2009,18/20,16.5/20
Fly! sur PC,"Fly! Est un simulateur aérien sorti sur PC. Avis à tous les contemplatifs, Fly! est fait pour vous. Pas question ici de tuer qui que ce soit ou de remplir une mission, vous n'avez qu'à voler tranquillement de façon réaliste et tutoyer les nuages de notre planète bleue.",Juillet 1999,18/20,16/20
Warhammer 40.000 : Dawn of War II sur PC,"Warhammer 40.000 : Dawn of War II sur PC est un jeu de stratégie se déroulant dans l'univers futuriste du célèbre jeu de figurines. Rejoignez les Orks ou les Eldars, les Tyrannides ou les Spaces marines pour des combats à grands coups de régiments armés jusqu'aux dents.",20 février 2009,18/20,17.6/20
Device 6 sur iOS,"Device 6 sur iOS est un thriller pas comme les autres dans la mesure où ce sont les mots qui vous guident à mesure qu'ils racontent l'histoire. Ce jeu d'aventure comporte des puzzles mêlés directement aux écrits à mesure que le mystère se dévoile. Vous jouez Anna, une jeune femme qui se réveille dans un château loin de tout, sans savoir ce qui lui est arrivé. Tout ce dont elle se souvient est une poupée vraiment déplaisante...",8 octobre 2013,18/20,17.9/20
The Witcher - Enhanced Edition sur PC,"Incarnez Geralt de Rivia créature mi-humaine, mi-magique, mais surtout mercenaire redoutable dans sa quête pour retrouver sa mémoire. The Witcher : Enhanced Edition est une version comprenant moult améliorations et ajouts par rapport au jeu original avec notamment un éditeur de scénario, une tripotée de personnages supplémentaires et deux aventures inédites. Le coffret comprend également deux CD audio (bande originale et musiques inspirées par le jeu) ainsi qu'une nouvelle d'Andrzej Sapkowski.",19 septembre 2008,18/20,13.2/20
Drakan : Order Of The Flame sur PC,"Drakan : Order Of The Flame est un jeu d'action aventure sorti sur PC. Incarnez Rynn, une jeune guerrière dont le village vient de se faire mettre à sac par une horde de Wartoks et dont le frère vient d'être enlevé sous ses yeux. A l'aide d'un Dragon vous partez à la recherche de votre frère.",24 septembre 1999,18/20,
Football Manager 2013,Football Manager 2013 est un jeu de gestion se passant dans le milieu du football. Le joueur dirige une équipe et doit la mener à la victoire. La base de donnée met à sa disposition des dizaines de championnats et plus de 160.000 joueurs. Les matchs s'affichent en 3D pour permettre un meilleur aperçu de l'action.,2 novembre 2012,18/20,
Fritz 9 sur PC,"Fritz 9 sur PC est un jeu d'échecs très pointu, une simulation qui va mettre à rude épreuve vos connaissances et surtout, va vous permettre d'affronter le tout premier automate turc créé par l'Impératrice Marie-Thérèse d'Autriche. Relevez les plus grands défis du monde en jouant les parties des champions et en tentant de renverser le cours de la manche. Faites-vous aider avec les conseils fournis par le titre.",1er décembre 2005,18/20,18.8/20
Grand Prix II sur PC,"Grand Prix II sur PC est un jeu de courses qui contient tous les circuits et pilotes du championnat du monde de Formule 1 de 1994. Le jeu propose 5 niveaux de difficulté, 7 différentes aides au pilotage et offre la possibilité de régler la voiture de façon à obtenir les meilleures performances.",1995,18/20,17.9/20
The King of Fighters XIII,The King of Fighters XIII est un jeu de combat en 2D sur PC. Le titre propose des affrontements qui voient s'opposer des équipes de 3 combattants. Cet épisode rassemble un total de 33 personnages jouables et propose un système de combat aussi dynamique que technique.,30 novembre 2011,18/20,18.4/20
Silent Hill 2 sur PS2,"Silent Hill 2 : Director's Cut est un jeu d'horreur sur Playstation 2. La vie de James Sunderland se brisa après la mort tragique de sa jeune épouse, Mary. Trois ans plus tard, il reçoit une troublante lettre de Mary lui demandant de retourner dans un lieu rempli de souvenirs, la mystérieuse ville de Silent Hill.",23 novembre 2001,18/20,18/20
NBA 2K12,"NBA 2K12 est un jeu de basket disponible sur PC. Le joueur peut y revivre des matchs de légende de la grande ligue de basket américaine et opposer les équipes de Michael Jordan, Larry Bird, Magic Johnson ou encore Wilt Chamberlain afin de savoir quel est le meilleur groupe de l'histoire. Les modes Mon Joueur et Association, en ligne ou non, sont également de la partie.",7 octobre 2011,18/20,18.3/20
Warcraft : Orcs & Humans,"Warcraft est un jeu de stratégie se déroulant en temps réel. Le joueur dirige son armée dans un monde médiéval-fantastique où le royaume d'Azeroth est menacé par une invasion d'Orcs. Il est possible de contrôler et découvrir les deux races dans deux scénarios différents, et des parties en multi en ligne sont également disponibles.",1995,18/20,18.2/20
GTR 2 sur PC,"GTR 2 est un jeu de courses de voitures sur PC qui vous laisse un large choix, que ce soit du véhicule ou du circuit. Retrouvez plus de 140 véhicules officiels fidèlement reproduits, incluant toutes les voitures des championnats GT et NGT sur vingt-huit circuits officiels et sous licence. Roulez sur six modes de jeu : entraînement libre, course simple , championnats, course contre la montre/contre un adversaire fantôme, 24 H Proximus et école de conduite. Un mode multi est également présent.",29 septembre 2006,18/20,18.8/20
Shenmue sur DCAST,"Témoin de l'assassinat de son père par le mystérieux Lan Di, le jeune Ryo Hazuki se jure de le retrouver pour venger son père. Tel est le point de départ de cette aventure hors normes qu'est Shenmue sur Dreamcast, un jeu à la croisée d'une multitude de genres qui comporte son lot d'action et d'affrontements inspirés des arts martiaux.",1er décembre 2000,18/20,17.6/20
Grand Theft Auto III,"Jeu d'action, Grand Theft Auto III vous permet d'incarner un malfrat qui a été trahi et laissé pour mort. Vous voudrez donc vous venger par tous les moyens: casses, vols et règlements de comptes seront votre principale activité à Liberty City, la ville la plus décadente des Etats-Unis.",26 octobre 2001,18/20,16.9/20
The Witcher 2 : Assassins of Kings,"Action-RPG inspiré des livres d'Andrzej Sapkowski, The Witcher 2 : Assassins of Kings se déroule dans un monde médiéval et fantastique. Le joueur y incarne Geralt, un chasseur de monstres mêlé à une intrigue politique dans le royaume de Téméria. Il devra mettre un terme à la rébellion de l'Ordre de la Rose Ardente.",17 mai 2011,18/20,17.6/20
Ristar,"Vous contrôlez Ristar dans ce jeu d'action à télécharger sur PC, à la jouabilité unique. Servez-vous de vos bras élastiques pour éliminer vos ennemis et grimpez où bon vous semble dans le but d'anéantir un tyran qui a pris le contrôle d'un système de planètes.",1995,18/20,18.8/20
God of War II : Divine Retribution sur PS2,"God of War II : Divine Retribution est un beat'em all Playstation 2. Deuxième volet de la série de la série, vous incarnez à nouveau Kratos, déchu de son statut de Dieu, et qui a pour seul but d'aller défier le Roi des plus hautes instances de l'Olympe, Zeus en personne. Aidez-le à mener à bien sa quête sanglante, en combattant la horde d'ennemis et de héros légendaires qui se dressent devant vous.",27 avril 2007,18/20,18/20
Dragon Quest II,"Dragon Quest II est un jeu de rôle sur iOs. Deuxième volet de la célèbre saga Dragon Quest, ce jeu se déroule à nouveau dans le pays d'Alefgard, aux commandes d'un descendant du brave Erdrick. Dragonlord ayant été vaincu, vous devez cette fois combattre un sorcier maléfique : Hargon. Partez à l'aventure et rencontrez des personnages qui formeront votre équipe pour restaurer la paix dans le monde !",9 octobre 2014,18/20,18/20
Professeur Layton et l'Etrange Village sur DS,"Professeur Layton et l'Etrange Village est un jeu d'aventure et de réflexion sur Nintendo DS. Basé sur une histoire de meurtre bizarre, le célèbre professeur va devoir trouver la clé de l'énigme, mais pas seulement de celle-ci. Les habitants de St Mystère adorent poser des énigmes, à tel point que la moindre conversation anodine peut donner lieu à des puzzles, parfois évidents, parfois nettement plus ardus.",7 novembre 2008,18/20,17.4/20
Bioshock 2 : L'Antre de Minerve,"Bioshock 2 : L'Antre de Minerve est une extension du volet original sur PC. On y découvre le Big Daddy Sigma qui va devoir se frayer un chemin jonché de chrosomes pour atteindre le super-ordinateur Le Penseur. On retrouve dans cet add-on un nouveau pouvoir, de nouvelles armes et un nouveau type de Protecteur, autrement dit le Lancier.",31 août 2010,18/20,16.6/20
Super Smash Bros. for 3DS sur 3DS,"Super Smash Bros. for 3DS est un jeu de combat en arènes dans lesquelles s’affrontent un grand nombre de personnages issus de l’univers de Nintendo, tels que Pikachu, Link, Mario, Samus, ou encore Donkey Kong. De nouveaux combattants arrivent également tels que Mega Man, la coach de Wii Fit, et même le villageois de Animal Crossing. De nombreux modes sont disponibles, et le mode multijoueur est bien évidemment toujours de la partie.",3 octobre 2014,18/20,18.1/20
Shadow Warriors,"Ninja Gaiden est un jeu d'action sorti sur Console Virtuelle Wii U. Vous êtes Ryu, un ninja moderne, et vous devez partir en Amérique pour découvrir qui a tué votre père. Vos recherches vous conduiront dans un scénario surnaturel.",15 août 1991,18/20,18.4/20
Half-Life 2,"Half-Life 2 est un jeu d'action à la première personne où le joueur dirige le professeur Gordon Freeman, tout juste arrivé dans une ville dirigée par une mystérieuse organisation : Le Cartel. Il va devoir s'échapper et poursuivre le chef de la propagande en se servant de nombreuses armes, de véhicules mais également du Gravity Gun émettant un rayon d'attraction/répulsion et qui permet de faire voler à-peu-près tous les éléments du décor.",17 novembre 2004,18/20,16.5/20
Journey,"Journey est un titre disponible en téléchargement sur PC dans lequel le joueur effectue un voyage initiatique bien mystérieux. Au cours de son périple commençant au milieu d'un désert, il croisera d'autres joueurs avec lesquels il pourra faire un bout de chemin, en tentant de comprendre les secrets de cet univers particulier.",14 mars 2012,18/20,
Colin McRae Rally 04,"Colin McRae Rally 04 sur PC est un jeu de courses vous mettant dans la peau d'un pilote de rallye lancé dans plusieurs courses et championnats. Le jeu propose de nombreuses voitures à piloter, ainsi qu'un mode carrière et de nombreux modes de jeu disponibles tant en solo qu'en multijoueur.",19 septembre 2003,18/20,
Halo Reach sur 360,"Halo Reach sur Xbox 360 nous conte l'histoire de la chute de la planète Reach, avant le tout premier épisode de la célèbre série de FPS. On y suit le combat désespéré de l'escouade Noble, formée de puissants Spartans, contre les innombrables légions Covenants. La campagne est jouable à 4 en coopération et le jeu intègre une multitude de modes multijoueurs largement configurables, dont le fameux Baptême du feu. Un éditeur de cartes complet est également inclus.",14 septembre 2010,18/20,17.8/20
Cadaver,Cadaver est un jeu d'action et d'aventure sur PC. Le soft vous propose d'incarner un voleur du nom de Karadoc. Vous vous retrouvez dans un château rempli d'objets précieux en tout genre à dérober mais aussi rempli de pièges mortels. Vous allez devoir vous montrer à la hauteur pour pouvoir voler un maximum d'objets sans vous retrouver planté sur des piques ou enfermé dans un cachot moisi.,1990,18/20,18.5/20
Geometry Dash,"Geometry Dash sur iOS est un jeu de plates-formes hardcore mettant à rude épreuve les réflexes des joueurs. Lancé à toute allure dans des niveaux très courts, mais bourrés de pièges, il faudra s'accrocher pour en voir le bout. Un éditeur de niveaux est disponible pour pousser le vice encore plus loin.",2 août 2013,18/20,18.4/20
RalliSport Challenge 2 sur Xbox,"RalliSport Challenge 2 est un jeu de courses disponible sur Xbox. Repoussez les limites de la folie avec plus de 40 voitures, dont celles du groupe B. Participez à des courses palpitantes au volant des voitures de rally les plus mythiques depuis 1978. 5 types de course sont disponibles avec plus de 90 pistes qui mettront vos réflexes à rude épreuve.",21 mai 2004,18/20,18.8/20
Heroes of Might and Magic II : The Succession Wars,"Heroes of Might and Magic II : The Succession Wars sur PC est la suite de Heroes of Might and Magic, un jeu de stratégie au tour par tour se déroulant dans un univers d'heroic-fantasy. The Succession Wars offre des écrans de combat plus grands et plus interactifs, et le système de magie fonctionne maintenant grâce à des points de sorts, il n'est plus nécessaire de les mémoriser.",1996,18/20,16.9/20
Ready 2 Rumble Boxing,"Ready 2 Rumble Boxing sur Dreamcast est un jeu de boxe où priment le fun et la bonne ambiance. Une vingtaine de boxeurs/boxeuses, plus ou moins funkys sont proposés. Sous ses airs légers, le jeu est en réalité d'une grande richesse, les possibilités de mouvements, de parades et d'esquives sont notamment très nombreuses.",14 octobre 1999,18/20,18.3/20
Warcraft III : Reign of Chaos,"Jeu de stratégie en temps réel, Warcraft III : Reign of Chaos voit s'opposer 4 factions : les morts vivants, les elfes de la nuit, les humains et les orcs. A la tête de chaque armée vous possédez 3 héros au maximum que vous pouvez faire évoluer au fur et à mesure de votre périple. Ces derniers ont la possibilité d'utiliser divers sorts qui peuvent sensiblement améliorer vos chances de victoire sur le champ de bataille. Le titre permet de jouer jusqu'à 12 joueurs en ligne ou en réseau local.",5 juillet 2002,18/20,17.5/20
Zak McKracken and the Alien Mindbenders,"Zak McKracken and the Alien Mindbenders est un jeu d'aventure loufoque sur PC. Dirigez le journaliste de tabloïds Zak ainsi que 3 autres personnages dans des lieux aussi exotiques que le Katmandou, l'Egypte, l'Amazonie ou même la planète Mars. Votre recherche de scoop débutera par la poursuite d'un écureuil à 2 têtes à Seattle. Durant l'aventure, vous croiserez des aliens déguisés et des gourous golfeurs.",1988,18/20,17.5/20
South Park : Le Bâton de la Vérité,"South Park : Le Bâton de la Vérité est un RPG. Créez l'habitant de South Park qui vous ressemble et rejoignez la guilde de Cartman, Kyle, Stan et compagnie, pour combattre le mal dans une ville où règne le chaos et la destruction.",6 mars 2014,18/20,16.7/20
Legend of Grimrock,"Legend of Grimrock est un jeu d'exploration de donjons à l'ancienne. Le joueur dirige un groupe de quatre personnages et doit les aider à sortir en vie d'un donjon constitué de 13 étages. pour cela, il devra combattre, résoudre des énigmes, faire de la magie et de l'alchimie et faire évoluer ses personnages.",11 avril 2012,18/20,12.8/20
Metroid : Other M sur Wii,"Metroid : Other M est un jeu d'action à la troisième personne sur Wii. Suite de la série des Metroid, cet opus vous permet de retrouver l'héroïne Samus Aran dans sa célèbre combinaison colorée. Proche du beat'em all, ce jeu offre aussi des séquences de tir à la première personne et un scénario développant l'histoire de Metroid pour le plus grand plaisir des fans.",3 septembre 2010,18/20,17/20
Official Formula 1 Racing sur PC,"Official Formula 1 Racing est un jeu de courses sorti sur PC. Le titre propose tout d'abord tout le championnat 1998 dans son intégralité. On retrouve ainsi les 11 écuries participantes, les 22 voitures et les 16 circuits modélisés au millimètre près. Il y a 5 modes de jeu proposés : Entraînement, Course unique, Course rapide, Championnat et Multijoueur.",Mai 1999,18/20,17/20
Runaway 2 : The Dream of the Turtle,"Runaway 2 : The Dream of the Turtle sur PC est un jeu d'aventure point'n click classique dans lequel vous incarnez Brian qui doit retrouver sa petite amie, la sculpturale Gina, après que leur avion se soit écrasé sur une île. Vous allez faire la rencontre de militaires peu scrupuleux, de surfeurs zen, d'un savant fou, et de tout un tas de personnages aussi dérangés que possible.",17 novembre 2006,18/20,18.8/20
F1 2002,F1 2002 est un jeu de courses sorti sur PC. Revivez toute l'intensité de la saison 2002 de formule 1 en jouant avec les véritables écuries. Les conditions climatiques peuvent changer pendant la course et modifier votre conduite.,11 avril 2002,18/20,18.4/20
Perfect Dark,"Disponible en téléchargement sur le Xbox Live Arcade de votre Xbox 360, Perfect Dark est un FPS datant de 2000 mais revu graphiquement pour la console de Microsoft. Prenez le contrôle de Joanna Dark, alias Perfect Dark, jeune espionne de 23 ans, membre des forces d'élite de l'Institut Carrington. Armée des dernières technologies, Perfect Dark doit faire la lumière sur une sombre conspiration contre le président des Etats-Unis. Un mode multijoueur est aussi accessible.",30 juin 2000,18/20,18/20
Super Mario Sunshine sur NGC,Super Mario Sunshine est un jeu de plates-formes sur Gamecube. Incarnez le célèbre plombier italien dans son aventure sur l'île Delfino. Armé d'une pompe à eau multifonction vous devrez laver l'île des graffitis qui la souillent et poursuivre votre énigmatique double maléfique.,4 octobre 2002,18/20,17.5/20
Nuclear Throne,Nuclear Throne est un jeu d'action pour PC dans lequel le joueur dirige un mutant devant se battre contre d'autres mutants pour accéder au trône de Wasteland. Mutations génétiques et artillerie lourde sont au programme pour améliorer son avatar au fil des combats.,11 octobre 2013,18/20,
GP 500 sur PC,"GP 500 est un jeu de courses sorti sur PC. Des bolides de plus de 200 chevaux vous attendent pour faire la course sur 14 circuits officiels. Essayez un mode moto testé par Kenny Roberts Jr en personne, pour une expérience la plus réaliste possible.",Septembre 1999,18/20,
Gears of War,"Gears of War sur PC est un shoot tactique dans lequel vous dirigez Marcus, un gros balèze, lancé contre une horde d'aliens baveux. Mais vous n'êtes pas seul et une équipe opère avec vous. Vos camarades se meuvent selon leur propre volonté et vous aident lors des gunfights. Le combat à couvert permet d'utiliser le décor à votre avantage.",17 novembre 2006,18/20,
Mighty Final Fight,Mighty Final Fight est un beat'em all dans lequel vous choisissez parmi trois personnages jouables au style de combat différent pour partir à la d'une fille kidnappée par le gang de malfrats Mad Gear. Traversez six niveaux plus deux niveaux bonus et ramassez des armes pour venir à bout des boss qui concluent chaque stage. Cette mouture propose une version super déformée des personnages.,1993,18/20,
Jetez-Vous à l'Eau !,"Jetez-Vous à l'Eau ! sur iOS est un jeu de réflexion dans lequel le joueur doit aider l'alligator Swampy à trouver de l'eau afin qu'il puisse prendre sa douche. Pour cela, il faut libérer des conduits et faire passer l'eau à travers un parcours semé d'embûches.",22 septembre 2011,18/20,17.8/20
Pizza Syndicate sur PC,"Pizza Syndicate est un jeu de simulation sorti sur PC. il va falloir faire vos preuves et vous battre, à tous les niveaux. Première étape, l'installation du restaurant. Trouvez-vous un bâtiment sympa, bien placé, et louez-le. Ensuite, aménagez-le à votre guise. Et ainsi de suite jusqu'à devenir le roi des pizzaiolos.",Septembre 1999,18/20,15.1/20
Company of Heroes : Opposing Fronts sur PC,"Opposing Fronts est une extension stand-alone pour Company of Heroes (elle n'a pas besoin du jeu de base pour fonctionner). Disponible sur PC, ce jeu de stratégie en temps réel met l'accent sur l'action à grand spectacle et permet de diriger deux nouvelles factions : la division blindée Panzer Elite lors de l'opération Market Garden, ou les troupes britanniques pendant le débarquement en Normandie.",28 septembre 2007,18/20,18.3/20
SolatoRobo : Red the Hunter sur DS,"Solatorobo : Red the Hunter est un jeu d'action/RPG sur Nintendo DS. Vous y incarnez Red Savarin, un chien anthropomorphe qui peut se transformer à loisir en humain pour combattre des robots géants et de nombreux ennemis au fil de ses explorations.",1er juillet 2011,18/20,17.4/20
Crysis,"Crysis est un FPS dans lequel le joueur doit enquêter dans une île des Philippines. Le scénario se passe en 2020 alors que l'armée nord-coréenne a investit les lieux, et c'est à notre avatar, équipé d'une nanocombinaison l'aidant à se camoufler, de découvrir ce qui se trame au milieu de la jungle luxuriante.",16 novembre 2007,18/20,17.2/20
